x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
18.20;44.70;y;0.79;0.25;-66.80;131.03;0.00;48.26
18.20;44.70;p;3.70;0.31;64.23;0.00;3.22;48.26
19.60;41.80;y;0.79;0.18;64.23;92.57;0.00;46.17
19.60;41.80;p;1.68;0.65;156.80;0.00;1.52;46.17
18.20;41.20;y;0.79;0.30;156.80;-55.19;0.00;45.04
18.20;41.20;p;7.85;0.43;101.61;0.00;7.45;45.04
16.70;33.90;y;0.79;0.16;101.61;12.97;0.00;37.79
16.70;33.90;p;11.65;0.21;114.58;0.00;10.34;37.79
12.40;24.50;y;0.79;0.08;114.58;-33.83;0.00;27.46
12.40;24.50;p;8.84;0.04;80.75;0.00;8.71;27.46
13.80;15.90;y;0.79;0.08;80.75;62.38;0.00;21.05
13.80;15.90;p;0.61;0.09;143.13;0.00;0.50;21.05
13.40;15.60;y;0.79;0.11;143.13;-82.18;0.00;20.57
13.40;15.60;p;1.25;0.65;60.95;0.00;1.03;20.57
13.90;14.70;y;0.79;0.34;60.95;-8.82;0.00;20.23
13.90;14.70;p;1.29;0.39;52.13;0.00;1.14;20.23
14.60;13.80;y;0.79;0.00;52.13;-60.37;0.00;20.09
14.60;13.80;p;7.10;0.02;-8.25;0.00;6.97;20.09
21.50;14.80;y;0.79;0.07;-8.25;-55.19;0.00;26.10
21.50;14.80;p;0.88;0.19;-63.43;0.00;0.67;26.10
21.80;15.40;y;0.79;0.25;-63.43;28.07;0.00;26.69
21.80;15.40;p;4.30;0.24;-35.36;0.00;3.80;26.69
24.90;17.60;y;0.79;0.24;-35.36;-46.87;0.00;30.49
24.90;17.60;p;2.33;0.16;-82.23;0.00;2.22;30.49
25.20;19.80;y;0.79;0.15;-82.23;-13.77;0.00;32.05
25.20;19.80;p;2.02;0.33;-96.01;0.00;1.91;32.05
25.00;21.70;y;0.79;0.26;-96.01;-83.99;0.00;33.10
25.00;21.70;p;1.23;0.66;180.00;0.00;1.00;33.10
24.00;21.70;y;0.79;0.30;180.00;67.07;0.00;32.36
24.00;21.70;p;3.04;0.72;-112.93;0.00;2.82;32.36
22.90;24.30;y;0.79;0.06;-112.93;-87.05;0.00;33.39
22.90;24.30;p;1.32;0.33;160.02;0.00;1.17;33.39
21.80;23.90;y;0.79;0.16;160.02;125.93;0.00;32.35
21.80;23.90;p;2.38;0.51;-74.05;0.00;2.18;32.35
22.40;26.00;y;0.79;0.38;-74.05;-79.38;0.00;34.32
22.40;26.00;p;2.10;0.09;-153.43;0.00;1.79;34.32
20.80;26.80;y;0.79;0.01;-153.43;100.30;0.00;33.92
20.80;26.80;p;1.21;0.18;-53.13;0.00;1.00;33.92
21.40;27.60;y;0.79;0.29;-53.13;-27.71;0.00;34.92
21.40;27.60;p;3.25;0.16;-80.84;0.00;3.14;34.92
21.90;30.70;y;0.79;0.15;-80.84;97.54;0.00;37.71
21.90;30.70;p;1.19;0.07;16.70;0.00;1.04;37.71
22.90;30.40;y;0.79;0.06;16.70;-3.31;0.00;38.06
22.90;30.40;p;2.35;0.07;13.39;0.00;2.16;38.06
25.00;29.90;y;0.79;0.06;13.39;-83.41;0.00;38.97
25.00;29.90;p;19.62;0.06;-70.02;0.00;18.73;38.97
31.40;47.50;y;0.79;0.07;-70.02;157.35;0.00;56.94
31.40;47.50;p;8.74;0.20;87.34;0.00;8.61;56.94
31.80;38.90;y;0.79;0.09;87.34;-30.66;0.00;50.24
31.80;38.90;p;19.10;0.30;56.68;0.00;17.11;50.24
41.20;24.60;y;0.79;0.18;56.68;50.42;0.00;47.99
41.20;24.60;p;4.36;0.11;107.10;0.00;4.08;47.99
40.00;20.70;y;0.79;0.02;107.10;17.69;0.00;45.04
40.00;20.70;p;8.05;0.33;124.80;0.00;7.18;45.04
35.90;14.80;y;0.79;0.16;124.80;58.78;0.00;38.83
35.90;14.80;p;6.54;0.62;-176.42;0.00;6.41;38.83
29.50;15.20;y;0.79;0.40;-176.42;-67.01;0.00;33.19
29.50;15.20;p;0.88;0.07;116.57;0.00;0.67;33.19
29.20;14.60;y;0.79;0.00;116.57;7.13;0.00;32.65
29.20;14.60;p;8.50;0.33;123.69;0.00;7.57;32.65
25.00;8.30;y;0.79;0.16;123.69;-13.13;0.00;26.34
25.00;8.30;p;3.70;0.21;110.56;0.00;3.42;26.34
23.80;5.10;y;0.79;0.08;110.56;73.68;0.00;24.34
23.80;5.10;p;2.82;0.20;-175.76;0.00;2.71;24.34
21.10;5.30;y;0.79;0.09;-175.76;18.48;0.00;21.76
21.10;5.30;p;9.78;0.19;-157.29;0.00;9.32;21.76
12.50;8.90;y;0.79;0.10;-157.29;-10.77;0.00;15.34
12.50;8.90;p;5.63;0.48;-168.06;0.00;5.32;15.34
7.30;10.00;y;0.79;0.32;-168.06;-104.38;0.00;12.38
7.30;10.00;p;4.82;0.20;87.56;0.00;4.70;12.38
7.50;5.30;y;0.79;0.09;87.56;-77.26;0.00;9.18
7.50;5.30;p;1.22;0.25;10.30;0.00;1.12;9.18
8.60;5.10;y;0.79;0.24;10.30;79.70;0.00;10.00
8.60;5.10;p;3.85;0.18;90.00;0.00;3.40;10.00
8.60;1.70;y;0.79;0.11;90.00;81.07;0.00;8.77
8.60;1.70;p;7.21;0.17;171.07;0.00;7.09;8.77
1.60;0.60;y;0.79;0.06;171.07;96.28;0.00;1.71
