x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
7.70;94.70;y;0.15;0.03;1.59;43.41;0.00;95.01
7.70;94.70;p;0.83;0.14;45.00;0.00;0.71;95.01
8.20;94.20;y;0.22;0.01;45.00;-61.70;0.00;94.56
8.20;94.20;p;1.19;0.25;-16.70;0.00;1.04;94.56
9.20;94.50;y;0.30;0.01;-16.70;112.41;0.00;94.95
9.20;94.50;p;1.11;0.49;95.71;0.00;1.00;94.95
9.10;93.50;y;0.12;0.05;95.71;-14.92;0.00;93.94
9.10;93.50;p;3.86;1.12;80.79;0.00;3.75;93.94
9.70;89.80;y;0.13;0.07;80.79;-22.27;0.00;90.32
9.70;89.80;p;6.50;1.40;58.52;0.00;5.75;90.32
12.70;84.90;y;0.33;0.25;58.52;-131.60;0.00;85.84
12.70;84.90;p;5.12;0.31;-73.07;0.00;4.81;85.84
14.10;89.50;y;0.05;0.01;-73.07;-7.47;0.00;90.60
14.10;89.50;p;0.71;0.13;-80.54;0.00;0.61;90.60
14.20;90.10;y;0.35;0.06;-80.54;125.54;0.00;91.21
14.20;90.10;p;0.83;0.11;45.00;0.00;0.71;91.21
14.70;89.60;y;0.37;0.07;45.00;-120.07;0.00;90.80
14.70;89.60;p;1.72;0.68;-75.07;0.00;1.55;90.80
15.10;91.10;y;0.10;0.01;-75.07;14.50;0.00;92.34
15.10;91.10;p;5.10;0.69;-60.57;0.00;4.48;92.34
17.30;95.00;y;0.16;0.01;-60.57;49.26;0.00;96.56
17.30;95.00;p;0.61;0.06;-11.31;0.00;0.51;96.56
17.80;95.10;y;0.24;0.06;-11.31;76.97;0.00;96.75
17.80;95.10;p;5.26;0.63;65.66;0.00;4.61;96.75
19.70;90.90;y;0.13;0.06;65.66;42.16;0.00;93.01
19.70;90.90;p;3.17;0.43;107.82;0.00;2.94;93.01
18.80;88.10;y;0.15;0.01;107.82;-30.35;0.00;90.08
18.80;88.10;p;1.06;0.62;77.47;0.00;0.92;90.08
19.00;87.20;y;0.05;0.05;77.47;1.57;0.00;89.25
19.00;87.20;p;3.26;0.58;79.05;0.00;3.16;89.25
19.60;84.10;y;0.27;0.05;79.05;-79.05;0.00;86.35
19.60;84.10;p;0.88;0.05;-0.00;0.00;0.80;86.35
20.40;84.10;y;0.20;0.04;-0.00;65.56;0.00;86.54
20.40;84.10;p;1.45;0.47;65.56;0.00;1.21;86.54
20.90;83.00;y;0.07;0.00;65.56;11.45;0.00;85.59
20.90;83.00;p;1.49;0.43;77.01;0.00;1.33;85.59
21.20;81.70;y;0.23;0.02;77.01;-59.98;0.00;84.41
21.20;81.70;p;5.45;0.08;17.02;0.00;5.12;84.41
26.10;80.20;y;0.21;0.02;17.02;64.85;0.00;84.34
26.10;80.20;p;2.94;0.75;81.87;0.00;2.83;84.34
26.50;77.40;y;0.21;0.13;81.87;-58.77;0.00;81.81
26.50;77.40;p;7.77;0.56;23.10;0.00;7.39;81.81
33.30;74.50;y;0.28;0.05;23.10;104.78;0.00;81.60
33.30;74.50;p;1.29;0.49;127.87;0.00;1.14;81.60
32.60;73.60;y;0.13;0.07;127.87;25.56;0.00;80.50
32.60;73.60;p;0.85;0.26;153.43;0.00;0.67;80.50
32.00;73.30;y;0.13;0.02;153.43;26.57;0.00;79.98
32.00;73.30;p;0.22;0.03;180.00;0.00;0.10;79.98
31.90;73.30;y;0.23;0.00;180.00;71.57;0.00;79.94
31.90;73.30;p;0.76;0.18;-108.43;0.00;0.63;79.94
31.70;73.90;y;0.13;0.10;-108.43;-34.70;0.00;80.41
31.70;73.90;p;0.59;0.14;-143.13;0.00;0.50;80.41
31.30;74.20;y;0.23;0.00;-143.13;-80.90;0.00;80.53
31.30;74.20;p;4.51;0.33;135.97;0.00;4.17;80.53
28.30;71.30;y;0.18;0.04;135.97;-41.46;0.00;76.71
28.30;71.30;p;3.93;0.45;94.51;0.00;3.81;76.71
28.00;67.50;y;0.20;0.07;94.51;-62.51;0.00;73.08
28.00;67.50;p;1.15;0.16;32.01;0.00;0.94;73.08
28.80;67.00;y;0.10;0.01;32.01;23.06;0.00;72.93
28.80;67.00;p;8.60;0.65;55.07;0.00;7.68;72.93
33.20;60.70;y;0.25;0.21;55.07;-73.77;0.00;69.19
33.20;60.70;p;7.26;0.43;-18.70;0.00;6.86;69.19
39.70;62.90;y;0.23;0.09;-18.70;64.59;0.00;74.38
39.70;62.90;p;9.69;0.23;45.90;0.00;9.05;74.38
46.00;56.40;y;0.07;0.00;45.90;-0.90;0.00;72.78
46.00;56.40;p;1.13;0.29;45.00;0.00;0.99;72.78
46.70;55.70;y;0.15;0.04;45.00;44.22;0.00;72.69
46.70;55.70;p;7.41;0.91;89.22;0.00;7.30;72.69
46.80;48.40;y;0.09;0.02;89.22;-6.48;0.00;67.33
46.80;48.40;p;5.53;0.65;82.74;0.00;5.14;67.33
47.45;43.30;p;5.52;0.20;82.74;0.00;5.14;64.24
48.10;38.20;y;0.07;0.00;82.74;11.14;0.00;61.42
48.10;38.20;p;6.04;0.30;93.88;0.00;5.91;61.42
47.70;32.30;y;0.07;0.02;93.88;3.89;0.00;57.61
47.70;32.30;p;2.33;0.27;97.77;0.00;2.22;57.61
47.40;30.10;y;0.15;0.05;97.77;40.66;0.00;56.15
47.40;30.10;p;8.89;0.36;138.42;0.00;8.29;56.15
41.20;24.60;y;0.16;0.07;138.42;-31.32;0.00;47.99
41.20;24.60;p;4.36;0.20;107.10;0.00;4.08;47.99
40.00;20.70;y;0.32;0.01;107.10;-105.55;0.00;45.04
40.00;20.70;p;7.52;0.04;1.55;0.00;7.40;45.04
47.40;20.50;y;0.14;0.01;1.55;-37.43;0.00;51.64
47.40;20.50;p;6.50;0.39;-35.88;0.00;5.80;51.64
52.10;23.90;y;0.28;0.19;-35.88;100.87;0.00;57.32
52.10;23.90;p;1.95;0.83;64.98;0.00;1.66;57.32
52.80;22.40;y;0.15;0.05;64.98;-36.37;0.00;57.36
52.80;22.40;p;1.50;0.47;28.61;0.00;1.25;57.36
53.90;21.80;y;0.31;0.01;28.61;-118.61;0.00;58.14
53.90;21.80;p;3.08;0.74;-90.00;0.00;2.60;58.14
53.90;24.40;y;0.40;0.34;-90.00;140.71;0.00;59.17
53.90;24.40;p;1.59;0.10;50.71;0.00;1.42;59.17
54.80;23.30;y;0.25;0.00;50.71;-75.33;0.00;59.55
54.80;23.30;p;6.00;0.80;-24.62;0.00;5.28;59.55
59.60;25.50;y;0.23;0.20;-24.62;-74.29;0.00;64.83
59.60;25.50;p;5.28;1.36;-98.91;0.00;5.16;64.83
58.80;30.60;y;0.15;0.08;-98.91;-38.06;0.00;66.29
58.80;30.60;p;2.26;0.77;-136.97;0.00;2.05;66.29
57.30;32.00;y;0.08;0.00;-136.97;10.11;0.00;65.63
57.30;32.00;p;0.66;0.20;-126.87;0.00;0.50;65.63
57.00;32.40;y;0.19;0.02;-126.87;50.91;0.00;65.56
57.00;32.40;p;1.42;0.71;-75.96;0.00;1.24;65.56
57.30;33.60;y;0.11;0.05;-75.96;-35.84;0.00;66.42
57.30;33.60;p;1.22;0.69;-111.80;0.00;1.08;66.42
56.90;34.60;y;0.12;0.00;-111.80;21.80;0.00;66.59
56.90;34.60;p;2.53;0.43;-90.00;0.00;2.10;66.59
56.90;36.70;y;0.42;0.20;-90.00;162.80;0.00;67.71
56.90;36.70;p;4.70;0.55;72.80;0.00;4.40;67.71
58.20;32.50;y;0.41;0.16;72.80;-141.55;0.00;66.66
58.20;32.50;p;2.11;0.42;-68.75;0.00;1.93;66.66
58.90;34.30;y;0.15;0.06;-68.75;47.15;0.00;68.16
58.90;34.30;p;5.47;0.44;-21.60;0.00;5.16;68.16
63.70;36.20;y;0.22;0.02;-21.60;-68.40;0.00;73.27
63.70;36.20;p;0.73;0.27;-90.00;0.00;0.60;73.27
63.70;36.80;y;0.16;0.06;-90.00;30.96;0.00;73.57
63.70;36.80;p;2.05;0.63;-59.04;0.00;1.75;73.57
64.60;38.30;y;0.10;0.05;-59.04;-18.12;0.00;75.10
64.60;38.30;p;6.19;0.73;-77.15;0.00;5.85;75.10
65.90;44.00;y;0.14;0.12;-77.15;-48.39;0.00;79.24
65.90;44.00;p;1.05;0.66;-125.54;0.00;0.86;79.24
65.40;44.70;y;0.29;0.18;-125.54;84.35;0.00;79.22
65.40;44.70;p;1.21;0.25;-41.19;0.00;1.06;79.22
66.20;45.40;y;0.20;0.03;-41.19;71.44;0.00;80.27
66.20;45.40;p;1.65;0.88;30.26;0.00;1.39;80.27
67.40;44.70;y;0.31;0.21;30.26;-119.37;0.00;80.88
67.40;44.70;p;10.25;0.29;-89.11;0.00;9.65;80.88
67.55;54.35;p;10.24;0.02;-89.11;0.00;9.65;86.70
67.70;64.00;y;0.36;0.03;-89.11;-155.07;0.00;93.16
67.70;64.00;p;7.80;0.11;115.82;0.00;6.89;93.16
64.70;57.80;y;0.21;0.01;115.82;48.92;0.00;86.76
64.70;57.80;p;1.29;0.24;164.74;0.00;1.14;86.76
63.60;57.50;y;0.33;0.06;164.74;110.02;0.00;85.74
63.60;57.50;p;1.31;0.62;-85.24;0.00;1.20;85.74
63.70;58.70;y;0.09;0.04;-85.24;-31.33;0.00;86.62
63.70;58.70;p;1.66;0.67;-116.57;0.00;1.34;86.62
63.10;59.90;y;0.19;0.09;-116.57;-49.40;0.00;87.00
63.10;59.90;p;0.53;0.05;-165.96;0.00;0.41;87.00
62.70;60.00;y;0.33;0.01;-165.96;99.16;0.00;86.78
62.70;60.00;p;0.89;0.13;-66.80;0.00;0.76;86.78
63.00;60.70;y;0.19;0.03;-66.80;57.34;0.00;87.48
63.00;60.70;p;0.71;0.43;-9.46;0.00;0.61;87.48
63.60;60.80;y;0.32;0.23;-9.46;-119.20;0.00;87.99
63.60;60.80;p;1.44;0.43;-128.66;0.00;1.28;87.99
